NAMEREC;CONTRACT2;CLIENTNAME;STREET;HOME;SERVICENUMBER;PLACE;REGISTERTYPENAME;FACTORYNUM;MOUNTDATE;PLOMBA
Тракторозаводский район;71040;"ООО ""ЖЭУ-8""";Бажова;30;23893;;МТК / MTW (Zenner) (Германия);1210048378;07.08.2013;2506           
Тракторозаводский район;71041;"ООО ""ЖЭУ-10""";Горького;63А;5464;;МТК / MTW (Zenner) (Германия);1210053435;13.08.2013;1888           
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Цвиллинга;35;1375;;МТК  / MTW (Zenner) (Германия);6022017;06.02.2013;00974          
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Плеханова;32;25979;;МТК  / MTW (Zenner) (Германия);6020439;04.02.2013;004630         
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Елькина;92Б;1184;;МТК  / MTW (Zenner) (Германия);6159254;26.04.2012;03120          
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Свободы;92Б;20787;;МТК  / MTW (Zenner) (Германия);6021742;04.02.2013;005222         
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Свободы;92;1416;;МТК  / MTW (Zenner) (Германия);6021440;06.02.2013;00971          
Советский район;71018;"ООО ""УК СПРАВЕДЛИВОЕ ЖКХ""";Свободы;72;1141;;МТК  / MTW (Zenner) (Германия);5765934;04.02.2013;04622          
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Овчинникова;6;17080;;WP / WPH (ZENNER)(Германия);06500332;04.02.2013;005229         
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Цвиллинга;66;17085;;МТК / MTW (Zenner) (Германия);6036332;04.02.2013;4270           
Ленинский район;71090;"ООО ""УК Ленинского района-7""";Гагарина;62А;269;;ВСХНК 50/20(комб.) (Powogas);12557876;01.03.2013;0784           
Ленинский район;71109;"ООО УК ""ЮЖУРАЛСТРОЙСЕРВИС""";Гагарина;31;4889;;МТК / MTW (Zenner) (Германия);3930543;05.03.2013;1775           
Ленинский район;71109;"ООО УК ""ЮЖУРАЛСТРОЙСЕРВИС""";Гагарина;27;5851;;МТК / MTW (Zenner) (Германия);03930552;06.08.2012;1774           
Ленинский район;71109;"ООО УК ""ЮЖУРАЛСТРОЙСЕРВИС""";Гагарина;25;486;;МТК / MTW (Zenner) (Германия);03927115;05.03.2013;1769           
Ленинский район;71052;"ООО ""Гефест""";Л.Чайкиной;11;11552;;WP / WPH  (ZENNER) (германия);11070319;10.06.2013;0071           
Ленинский район;71048;"ООО ""Хризолит""";Машиностроителей;30;24586;;МТК  / MTW (Zenner) (Германия);1210055391;13.06.2013;0302           
Ленинский район;71049;"ООО ""Аквамарин""";Машиностроителей;36;24591;;МТК  / MTW (Zenner) (Германия);1210055388;13.06.2013;0311           
Ленинский район;71109;"ООО УК ""ЮЖУРАЛСТРОЙСЕРВИС""";Машиностроителей;33;24589;;МТК / MTW  (Zenner) (Германия);1310002109;13.06.2013;313            
Ленинский район;71052;"ООО ""Гефест""";Масленникова;16А;4957;;МТК / MTW (Zenner) (Германия);1210053382;10.06.2013;0060           
Ленинский район;71052;"ООО ""Гефест""";Машиностроителей;44;24596;;МТК  / MTW (Zenner) (Германия);1210055389;13.06.2013;0323           
Ленинский район;71048;"ООО ""Хризолит""";Машиностроителей;26;24584;;МТК  / MTW (Zenner) (Германия);12100555446;13.06.2013;0304           
Тракторозаводский район;71070;"ООО УК ""Альтернатива""";Мамина;27А;3275;;WP / WPH (ZENNER)(Германия);12036508;08.08.2013;1886           
Тракторозаводский район;71035;"ООО ""ЖЭУ-2""";Передовой;3;23584;;МТК  / MTW (Zenner) (Германия);1210055423;06.08.2013;2589           
Тракторозаводский район;71041;"ООО ""ЖЭУ-10""";Горького;65Б;5467;;WP / WPH  (ZENNER) (германия);12025378;06.08.2013;2513           
Тракторозаводский район;71041;"ООО ""ЖЭУ-10""";Горького;65А;5466;;МТК / MTW (Zenner) (Германия);1210053635;06.08.2013;2515           
Тракторозаводский район;71036;"ООО ""ЖЭУ-4""";Артиллерийская;104А;6474;;МТК / MTW (Zenner) (Германия);1310000767;13.08.2013;1559           
Тракторозаводский район;71042;"ООО ""ЖЭУ-11""";Салютная;23А/2;19758;;WP / WPH (ZENNER)(Германия);13004655;06.08.2013;2581           
Тракторозаводский район;71093;"Общество с ограниченной ответственностью УК ""Инициатива""";Салютная;23;19757;;WP / WPH (ZENNER)(Германия);12060898;06.08.2013;2583           
Тракторозаводский район;71035;"ООО ""ЖЭУ-2""";Героев Танкограда;100;23569;;МТК / MTW (Zenner) (Германия);1310000857;06.08.2013;2587           
Тракторозаводский район;71044;"ООО ""ЖЭУ-27""";Мамина;6В;6505;;WP / WPH  (ZENNER) (германия);12070668;16.08.2013;1426           
Тракторозаводский район;71044;"ООО ""ЖЭУ-27""";Мамина;2Б;3233;;WP / WPH (ZENNER)(Германия);13004646;06.08.2013;1449           
Тракторозаводский район;71044;"ООО ""ЖЭУ-27""";Танкистов;62;3268;;WP / WPH  (ZENNER) (германия);11070340;06.08.2013;130            
Тракторозаводский район;71035;"ООО ""ЖЭУ-2""";Героев Танкограда;108;23572;;МТК / MTW (Zenner) (Германия);1210053375;16.08.2013;8250           
Тракторозаводский район;71035;"ООО ""ЖЭУ-2""";Котина;26;23568;;WP / WPH  (ZENNER) (германия);12034523;16.08.2013;1570           
Тракторозаводский район;71040;"ООО ""ЖЭУ-8""";Бажова;40;23898;;МТК / MTW (Zenner) (Германия);1310016702;13.08.2013;1572           
Тракторозаводский район;71040;"ООО ""ЖЭУ-8""";Бажова;34;23894;;МТК / MTW (Zenner) (Германия);1210040598;13.08.2013;1556           
Тракторозаводский район;71070;"ООО УК ""Альтернатива""";Хохрякова;12А;41776;;МТК  / MTW (Zenner) (Германия);04697193;12.03.2013;1615           
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Воровского;23А;41771;;МТК  / MTW (Zenner) (Германия);6728240;15.03.2013;01614          
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Плеханова;14;1135;;МТК  / MTW (Zenner) (Германия);7190568;13.03.2013;3769           
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Плеханова;16;1136;;МТК  / MTW (Zenner) (Германия);7190547;13.03.2013;3768           
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Овчинникова;8;17083;;МТК / MTW (Zenner) (Германия);6512306;14.03.2013;04225          
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Тимирязева;24;1150;;МТК  / MTW (Zenner) (Германия);7190534;13.03.2013;01603          
Курчатовский район;71201;"ООО УК ""Уютный дом""";Победы;192;2367;;WP / WPH  (ZENNER) (германия);11014651;17.04.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Свердловский;24А;2537;;МТК / MTW (Zenner) (Германия);1210048404;23.04.2013;3185           
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Свердловский;24Б;5831;;МТК / MTW (Zenner) (Германия);03927096;23.04.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Победы;194А;2528;;МТК / MTW (Zenner) (Германия);1210053886;23.04.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Свердловский;26А;20308;;МТК / MTW (Zenner) (Германия);1210048403;23.04.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Молдавская;19;2745;;WP / WPH (ZENNER)(Германия);06500970;08.05.2013;4223           
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Молдавская;21А;2944;;WP / WPH  (ZENNER) (германия);12034516;08.05.2013;5661           
Курчатовский район;71110;"ООО УО ""ИРИДА""";Молдавская;21Б;2946;;WP / WPH  (ZENNER) (германия);11014692;08.05.2013;5090           
Курчатовский район;71075;"ООО ""УК ""Дружба""";40-летия Победы;21;15425;;МТК / MTW (Zenner) (Германия);04696550;17.04.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";40-летия Победы;21;15425;;МТК / MTW (Zenner) (Германия);04696550;17.04.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Комсомольский;41а;2860;;МТК  / MTW (Zenner) (Германия);04697196;19.03.2013;05655          
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Комсомольский;35;2865;;WP / WPH  (ZENNER) (германия);11011128;20.11.2012;000504         
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Молдавская;25Б;2947;;МТК / MTW (Zenner) (Германия);1210053489;25.06.2013;2              
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Либкнехта;1;1120;;МТК  / MTW (Zenner) (Германия);6021405;01.06.2013;5990           
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Либкнехта;1;43163;;МТК  / MTW (Zenner) (Германия);6728213;04.06.2013;04843          
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Елькина;90;1179;;МТК  / MTW (Zenner) (Германия);1210039936;04.06.2013;05999          
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Елькина;61;1114;;МТК / MTW (Zenner) (Германия);6152234;04.06.2013;4865           
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Елькина;90Б;1181;;МТК  / MTW (Zenner) (Германия);6020454;04.06.2013;4348           
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Свободы;102;17092;;МТК  / MTW (Zenner) (Германия);6021605;04.06.2013;4862           
Советский район;71033;"ООО ЖКХ ""УЮТ""";Тимирязева;29;1374;;МТК  / MTW (Zenner) (Германия);064014;26.07.2013;2799           
Советский район;71055;"ООО ""Авилум""";Блюхера;8;4664;;МТК / MTW (Zenner) (Германия);1310000509;11.07.2013;5524           
Советский район;71055;"ООО ""Авилум""";Яблочкина;13А;4430;;МТК / MTW (Zenner) (Германия);1210053632;09.08.2013;0548           
Центральный район;71113;"ООО УО ""Ремжилзаказчик Советского района""";Энгельса;45;3967;;МТК  / MTW (Zenner) (Германия);03930288;04.03.2013;02743          
Центральный район;71113;"ООО УО ""Ремжилзаказчик Советского района""";Энгельса;47;3934;;МТК  / MTW (Zenner) (Германия);03930293;04.03.2013;02797          
Центральный район;71113;"ООО УО ""Ремжилзаказчик Советского района""";Энгельса;51;3964;;МТК / MTW (Zenner) (Германия);03927086;04.03.2013;02785          
Металлургический район;71091;"ООО УК ""Металлург""";Металлургов;25Б;6932;;МТК / MTW (Zenner) (Германия);6036420;27.02.2013;0650           
Металлургический район;71091;"ООО УК ""Металлург""";50-летия ВЛКСМ;39;9863;;МТК / MTW (Zenner) (Германия);03927152;14.02.2013;01116          
Металлургический район;71058;"ООО ""Ремжилзаказчик ЖЭУ № 1""";Комаровского;5А;6936;;МТК / MTW (Zenner) (Германия);03930549;14.02.2013;004401         
Металлургический район;71058;"ООО ""Ремжилзаказчик ЖЭУ № 1""";Комаровского;3;6934;;МТК / MTW (Zenner) (Германия);03927145;14.02.2013;0767           
Металлургический район;71091;"ООО УК ""Металлург""";Богдана Хмельницкого;23;9862;;МТК / MTW (Zenner) (Германия);03927070;27.02.2013;0789           
Металлургический район;71091;"ООО УК ""Металлург""";Жукова;52А;6938;;МТК / MTW (Zenner) (Германия);6036387;18.12.2012;004529         
Металлургический район;71091;"ООО УК ""Металлург""";50-летия ВЛКСМ;47;9853;;МТК / MTW (Zenner) (Германия);03927083;18.12.2012;004512         
Металлургический район;71091;"ООО УК ""Металлург""";Социалистическая;44;9861;;МТК / MTW (Zenner) (Германия);04697180;27.02.2013;0626           
Металлургический район;71091;"ООО УК ""Металлург""";Социалистическая;48;9929;;МТК / MTW (Zenner) (Германия);03930538;27.02.2013;0648           
Металлургический район;71091;"ООО УК ""Металлург""";Пети Калмыкова;2;9858;;МТК / MTW (Zenner) (Германия);03930535;14.02.2013;004452         
Металлургический район;71091;"ООО УК ""Металлург""";Пети Калмыкова;4;9860;;МТК / MTW (Zenner) (Германия);03930550;14.02.2013;0772           
Металлургический район;71091;"ООО УК ""Металлург""";Пети Калмыкова;8А;9851;;МТК / MTW (Zenner) (Германия);03927157;14.02.2013;0808           
Металлургический район;71091;"ООО УК ""Металлург""";Пети Калмыкова;12;9859;;МТК / MTW (Zenner) (Германия);03927088;14.02.2013;0807           
Металлургический район;71091;"ООО УК ""Металлург""";Пети Калмыкова;14;9857;;МТК / MTW (Zenner) (Германия);03927155;14.02.2013;0773           
Металлургический район;71091;"ООО УК ""Металлург""";50-летия ВЛКСМ;49;9854;;МТК / MTW (Zenner) (Германия);03930547;14.02.2013;004457         
Металлургический район;71091;"ООО УК ""Металлург""";Жукова;46А;6939;;МТК / MTW (Zenner) (Германия);04697211;18.12.2012;004605         
Металлургический район;71091;"ООО УК ""Металлург""";Жукова;50А;6941;;МТК / MTW (Zenner) (Германия);6036046;18.12.2012;004509         
Металлургический район;71091;"ООО УК ""Металлург""";Дегтярева;100;9856;;МТК / MTW (Zenner) (Германия);6512099;18.12.2012;004523         
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Победы;360;12731;;WP/WPH (ZENNER) (Германия);110583592;12.12.2013;2              
Ленинский район;71113;"ООО УО ""Ремжилзаказчик Советского района""";Южный Бульвар;28;237;;МТК  / MTW (Zenner) (Германия);1310005642;05.08.2013;1397           
Ленинский район;71113;"ООО УО ""Ремжилзаказчик Советского района""";Южный Бульвар;28;44161;;СВМТ (Бетар) (г.Чистополь);015922;16.12.2013;634            
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Комсомольский;78;5765;;WP / WPH (ZENNER)(Германия);13017882;23.04.2013;07838          
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Пионерская;16;2889;;WP/WPH (ZENNER) (Германия);13042380;23.04.2014;2              
Курчатовский район;71031;"ООО УК ""Эллада"" ";Комсомольский;11;21361;;WP/WPH (ZENNER) (Германия);13042397;22.04.2014;2              
Курчатовский район;71031;"ООО УК ""Эллада"" ";Комсомольский;9;20653;;WP/WPH (ZENNER) (Германия);13042421;22.04.2014;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Молодогвардейцев;4;42948;;МТК / MTW (Zenner) (Германия);1310020509;01.04.2014;4              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Молодогвардейцев;4;42947;;МТК / MTW (Zenner) (Германия);11226172;01.04.2014;4              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Комсомольский;78А;5125;;WP/WPH (ZENNER) (Германия);12071192;27.09.2013;10143          
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Комсомольский;101А;42950;;WP / WPH (Zenner) (германия);12032587;07.05.2014;2              
Курчатовский район;71119;"ООО ""Эко-Дом""";Солнечная;42;2743;;WP/WPH (ZENNER) (Германия);11070341;23.04.2014;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Комсомольский;78А;4801;;WP/WPH (ZENNER) (Германия);13042439;22.04.2014;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Комсомольский;26;11269;;WP / WPH (ZENNER)(Германия);13000400;17.03.2014;4              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Комсомольский;44А;672;;МТК / MTW (Zenner) (Германия);11186333;22.04.2014;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Островского;66;3004;;WP/WPH (ZENNER) (Германия);7211911;30.04.2014;1              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Комсомольский;32А;784;;WP/WPH (ZENNER) (Германия);13025212;07.05.2014;2              
Ленинский район;71050;"ООО ""Титан""";Энергетиков;23А;44173;;МТК  / MTW (Zenner) (Германия);11070265;09.09.2013;1120           
Советский район;71056;"ООО ""ДЕМЕТРА""";Челябинская;24;25425;;МТК / MTW (Zenner) (Германия);8489024;13.12.2013;4              
Советский район;71056;"ООО ""ДЕМЕТРА""";Чехова;3;25431;;МТК  / MTW (Zenner) (Германия);1310019426;06.02.2014;1312           
Советский район;71112;"ООО ""Унита""";Громова;15;25349;;WP / WPH  (ZENNER) (германия);05061911;25.12.2013;4              
Советский район;71112;"ООО ""Унита""";Громова;15;44851;;WP / WPH  (ZENNER) (германия);05061789;25.12.2013;4              
Советский район;71056;"ООО ""ДЕМЕТРА""";Геологов;7А;42573;;МТК / MTW (Zenner) (Германия);1310020904;24.12.2013;4              
Советский район;71056;"ООО ""ДЕМЕТРА""";Кирова;6;42572;;МТК / MTW (Zenner) (Германия);1310020948;24.12.2013;4              
Советский район;71056;"ООО ""ДЕМЕТРА""";КЛЮЧЕВАЯ;7;42571;;WP / WPH  (ZENNER) (германия);13000469;24.12.2013;4              
Советский район;71056;"ООО ""ДЕМЕТРА""";КЛЮЧЕВАЯ;7;44852;;WP / WPH  (ZENNER) (германия);13000237;24.12.2013;4              
Советский район;71056;"ООО ""ДЕМЕТРА""";КЛЮЧЕВАЯ;10;42570;;WP / WPH  (ZENNER) (германия);11055810;24.12.2013;4              
Советский район;71056;"ООО ""ДЕМЕТРА""";КЛЮЧЕВАЯ;12;42569;;WP / WPH  (ZENNER) (германия);13000486;24.12.2013;4              
Советский район;71112;"ООО ""Унита""";Курчатова;1;1186;;WP / WPH (ZENNER)(Германия);12060897;31.10.2013;4              
Тракторозаводский район;71039;"ООО ""ЖЭУ-7""";Салютная;6;23863;;WP / WPH  (ZENNER) (германия);13042436;08.04.2014;2527           
Тракторозаводский район;71035;"ООО ""ЖЭУ-2""";Котина;19;23618;;МТК / MTW (Zenner) (Германия);11225867;08.04.2014;2545           
Тракторозаводский район;71104;"ООО УК ""Единство""";3-я Арзамасская;23А;6514;;WP / WPH (ZENNER)(Германия);12068824;08.04.2014;2528           
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Комсомольский;73;2742;;WP/WPH (ZENNER) (Германия);11055686;12.12.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Комсомольский;22А;903;;WP/WPH (ZENNER) (Германия);12032138;16.12.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Комсомольский;28Б;785;;WP/WPH (ZENNER) (Германия);05060381;16.12.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Победы;196А;2365;;МТК / MTW (Zenner) (Германия);8488910;12.12.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Косарева;10;5834;;МТК / MTW (Zenner) (Германия);1310015577;04.12.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Краснознаменная;25;6489;;МТК / MTW (Zenner) (Германия);1310020501;26.12.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Островского;64;5839;;МТК / MTW (Zenner) (Германия);8489070;12.12.2013;2388           
Курчатовский район;71105;"ООО УК ""Урал-Сити""";Комсомольский;44;764;;WP/WPH (ZENNER) (Германия);05061810;26.12.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Комсомольский;77;2918;;МТК / MTW (Zenner) (Германия);8488967;12.12.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";40-летия Победы;10;833;;WP/WPH (ZENNER) (Германия);05061851;15.12.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";40-летия Победы;10;835;;WP / WPH (ZENNER)(Германия);13017879;15.12.2013;1              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";40-летия Победы;10;834;;WP/WPH (ZENNER) (Германия);05061825;15.12.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Островского;34;5747;;МТК / MTW (Zenner) (Германия);8489005;21.11.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Краснознаменная;20;2999;;МТК  / MTW (Zenner) (Германия);1310023065;13.05.2014;1              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Краснознаменная;27;2390;;МТК / MTW (Zenner) (Германия);8489052;22.04.2014;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Северо-Крымская;68;3003;;WP / WPH (ZENNER)(Германия);12074216;05.05.2014;11624          
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Пионерская;9;2887;;WP/WPH (ZENNER) (Германия);13042391;08.05.2014;3647           
Курчатовский район;71101;"ООО УК ""СОЮЗ""";Победы;306;3023;;WP/WPH (ZENNER) (Германия);13042428;23.04.2012;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Солнечная;14Б;4802;;МТК / MTW (Zenner) (Германия);1310020477;23.04.2014;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Захаренко;6Б;42949;;WP / WPH (ZENNER)(Германия);13037793;08.05.2014;1              
Калининский район;71045;"ООО ЖЭУ ""Сервис""";Набережная;7;6612;;МТК  / MTW (Zenner) (Германия);8490221;30.05.2014;1св            
Тракторозаводский район;71039;"ООО ""ЖЭУ-7""";Танкистов;179;23856;;МТК / MTW (Zenner) (Германия);1310020462;26.11.2013;1482           
Центральный район;71113;"ООО УО ""Ремжилзаказчик Советского района""";Сони Кривой;41;2187;;МТК / MTW (Zenner) (Германия);1310016638;25.12.2013;4              
Центральный район;71113;"ООО УО ""Ремжилзаказчик Советского района""";Тернопольская;27;1000;;МТК  / MTW (Zenner) (Германия);05061277;02.12.2013;5217           
Центральный район;71113;"ООО УО ""Ремжилзаказчик Советского района""";К.ЦЕТКИН;48;3947;;МТК / MTW (Zenner) (Германия);1310020605;06.11.2013;4              
Центральный район;71113;"ООО УО ""Ремжилзаказчик Советского района""";Энгельса;52;1893;;WP / WPH  (ZENNER) (германия);05061778;06.11.2013;4              
Советский район;71079;"ООО ""УК ""Жилкоммастер""";Пушкина;70;1534;;МТК  / MTW (Zenner) (Германия);1310021139;17.03.2014;4              
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Пушкина;70;1534;;МТК  / MTW (Zenner) (Германия);1310021139;17.03.2014;4              
Ленинский район;71113;"ООО УО ""Ремжилзаказчик Советского района""";Арматурный;10;6433;;МТК  / MTW (Zenner) (Германия);1210055372;14.04.2014;8327           
Ленинский район;71113;"ООО УО ""Ремжилзаказчик Советского района""";Южный Бульвар;26А;143;;МТК  / MTW (Zenner) (Германия);05061913;03.04.2014;6281           
Ленинский район;71090;"ООО ""УК Ленинского района-7""";Барбюса;81;42756;;МТК / MTW (Zenner) (Германия);8488983;03.04.2014;2570           
Тракторозаводский район;71039;"ООО ""ЖЭУ-7""";Салютная;8;23864;;WP/WPH (ZENNER) (Германия);13042398;05.05.2014;2391           
Тракторозаводский район;71034;"ООО ""ЖЭУ-1""";Белостоцкого;13;23542;;МТК / MTW (Zenner) (Германия);11226158;30.04.2014;2325           
Тракторозаводский район;71104;"ООО УК ""Единство""";Горького;67Б;5515;;МТК / MTW (Zenner) (Германия);11225880;28.04.2014;2546           
Тракторозаводский район;71040;"ООО ""ЖЭУ-8""";Героев Танкограда;27;23867;;МТК / MTW (Zenner) (Германия);11186312;08.04.2014;2543           
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Чичерина;8;854;;ВСХ (г.Мытищи);1522;31.03.2014;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Чичерина;8;855;;ВСХ (г.Мытищи);0191;17.01.2014;1              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Комсомольский;130А;16431;;ВСХ / ВСГ/ ВСТ (г.Мытищи);04376234;31.03.2014;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Солнечная;26Б;795;;WP / WPH (ZENNER)(Германия);12025765;25.03.2014;1              
Курчатовский район;71003;"ЖСК ""Заря""";Комсомольский;37А;2723;;WP/WPH (ZENNER) (Германия);05061840;26.12.2013;0452           
Калининский район;71045;"ООО ЖЭУ ""Сервис""";Кирова;5В;25986;;МТК / MTW (Zenner) (Германия);8527334;14.05.2014;1              
Калининский район;71101;"ООО УК ""СОЮЗ""";Победы;128;17705;;МТК  / MTW (Zenner) (Германия);1310021692;10.04.2014;1              
Калининский район;71101;"ООО УК ""СОЮЗ""";Победы;138;17712;;МТК / MTW  (Zenner) (Германия);1310002101;07.05.2014;1              
Калининский район;71101;"ООО УК ""СОЮЗ""";Победы;142;17713;;МТК  / MTW (Zenner) (Германия);1310023544;13.05.2014;1              
Калининский район;71101;"ООО УК ""СОЮЗ""";Победы;144;17714;;МТК  / MTW (Zenner) (Германия);1310023545;13.05.2014;1              
Калининский район;71075;"ООО ""УК ""Дружба""";Солнечная;70;1988;;МТК  / MTW (Zenner) (Германия);8490196;14.05.2014;1              
Калининский район;71101;"ООО УК ""СОЮЗ""";Артиллерийская;64;19079;;МТК  / MTW (Zenner) (Германия);1310021158;07.05.2014;1              
Калининский район;71101;"ООО УК ""СОЮЗ""";Артиллерийская;26;17735;;МТК  / MTW (Zenner) (Германия);10518706;07.05.2014;1              
Ленинский район;71109;"ООО УК ""ЮЖУРАЛСТРОЙСЕРВИС""";Новороссийская;65Б;8124;;WP / WPH  (ZENNER) (германия);05061783;18.11.2013;1038           
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Евтеева;1;44870;;МТК / MTW  (Zenner) (Германия);12815673;07.08.2013;433            
Курчатовский район;71099;"ООО УК ""Сервис-Партнер""";Островского;13А;29177;;WP/WPH (ZENNER) (Германия);13025216;10.07.2014;4059           
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Комсомольский;109;2674;;МТК / MTW (Zenner) (Германия);1310005652;01.07.2014;1              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Комсомольский;109;14612;;МТК  / MTW (Zenner) (Германия);1310005661;01.07.2014;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Солнечная;24;793;;WP / WPH (ZENNER)(Германия);12025922;09.07.2014;4684           
Советский район;71156;"ТСЖ ""ЭНЕРГИЯ""";Сулимова;92А;20171;;ВМХ (г.Москва);9476450;24.01.2014;456            
Советский район;71156;"ТСЖ ""ЭНЕРГИЯ""";Сулимова;92Б;41557;;МТК / MTW (Zenner) (Германия);13100216674;24.01.2014;1901           
Центральный район;71155;"ТСЖ ""Энгельса 44 Б""";Энгельса;44Б;5540;;WP / WPH  (ZENNER) (германия);13000312;10.02.2014;762            
Калининский район;71187;"ООО УК ""СОЮЗ""";Российская;31А;19665;;МТК  / MTW (Zenner) (Германия);1210038658;22.05.2014;1              
Центральный район;71113;"ООО УО ""Ремжилзаказчик Советского района""";Труда;7;4056;;WP / WPH  (ZENNER) (германия);13029563;10.06.2014;3987           
Советский район;71112;"ООО ""Унита""";Обская;4А;25258;;МТК / MTW (Zenner) (Германия);1310015380;04.09.2013;2525           
Тракторозаводский район;71044;"ООО ""ЖЭУ-27""";Мамина;6А;3236;;МТК / MTW (Zenner) (Германия);11226166;02.07.2014;3663           
Тракторозаводский район;71044;"ООО ""ЖЭУ-27""";Мамина;6А;44261;;МТК / MTW (Zenner) (Германия);11226165;02.07.2014;3431           
Курчатовский район;71010;"ООО ""Агентство ""Вертикаль""";Звенигородская;56;33120;;ЕТК (Minol) (Германия);0802000109;02.07.2014;14353          
